feature,importance
price_ma4w,0.8301104927502767
bopf_price_lkr_per_kg_lag1,0.12318095104427788
kenya_bopf_price_usd_w,0.006588109250351352
india_bopf_price_usd_w_lag1,0.006257291174331048
kenya_bopf_price_usd_w_lag1,0.004697678164855786
bopf_price_lkr_per_kg_lag4,0.0045829976583640665
india_bopf_price_usd_w,0.004573671211188642
india_bopf_price_usd_w_lag8,0.002583469232099104
india_bopf_price_usd_w_lag4,0.0024060467015651304
kenya_bopf_price_usd_w_lag4,0.0015756529132655425
month,0.0011656482050351525
kenya_bopf_price_usd_w_lag8,0.0011579992449631889
bopf_price_lkr_per_kg_lag8,0.0004508254879914982
fx_lkr_per_usd_m_lag1,0.00012384888964027673
rain_4w_sum,0.0
rain_mm_sum_w,0.0
fx_lkr_per_usd_m,-0.000397220105528473
fx_lkr_per_usd_m_lag8,-0.0004450457345546314
fx_lkr_per_usd_m_lag4,-0.0005979089889748713
fob_rs_per_kg_wavg_m,-0.0008039747033012467
